"SongNumber","Title","ArtistName","AlbumName","ArtistLatitude","ArtistLongitude","ArtistLocation","Duration","Loudness","Hotness","Tempo","Year","KeySignature","KeySignatureConfidence","TimeSignature","TimeSignatureConfidence"
1,"Harry Flowers","William Orbit","Strange Cargo III",,,,270.94159,-20.607,"nan",146.389,1993,0,0.031,5,0.399
2,"Gonna Take a Miracle","The Elders","Racing the Tide",,,,241.05751,-6.454,0.4454545255,146.053,0,7,0.788,4,0
3,"Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse...' (Radames) (Verdi)","Orchestra e Coro del Palacio de Bellas Artes Di Cittá del Messico_ Oliviero De Fabritiis_ Maria Call","Verdi: Aida",40.71455,-74.00712,"New York NY",370.99057,-21.08,"nan",114.407,0,7,0.423,5,0.783
4,"Orgasme Tellurique","Stille Volk","Maudat",,,,276.37506,-12.685,0.4507622416,149.971,2003,5,0,4,0.392
5,"Too Late (Orange Factory Extended Mix)","Tina Ann","Situations",,,,395.62404,-3.139,0,135.037,2003,9,0.432,4,0
6,"Mr. Sellack (Album Version)","The Roches","The Roches",,,"New York City",243.51302,-19.514,0,131.84,1979,2,0.705,4,0.179
7,"Pocket Calculator (2009 Digital Remaster)","Kraftwerk","The Mix (2009 Digital Remaster)",,,"D�orf Germany",272.03873,-8.801,0.5960278878,132.026,0,3,0.482,4,0.784
8,"The Lull Before The Storm","Ron Goodwin","Battle Of Britain",50.3758,-4.13689,"Plymouth Devon England",99.97016,-16.333,0.2120454055,71.228,1999,10,0.001,1,0.691
9,"The Buzzard's Back in Town (Live)","Pumpkin Buzzard","Perfect Dragon",38.2589,-92.43659,"Missouri",61.57016,-7.477,"nan",87.406,0,10,0.414,4,0.269
10,"Look Me In The Eye","Margaret Becker","Simple House",40.65507,-73.94888,"Brooklyn NY",193.74975,-6.108,0.6577006743,141.729,0,7,0.645,4,0
11,"Broke Down","Radio Moscow","Brain Cycles",42.02534,-93.6202,"Ames IA",255.89506,-6.83,0.7211996584,163.087,2009,0,0.612,4,0.316
12,"Dime","Conjunto Mar Azul","Happy Boy",,,"Mexico",203.20608,-9.062,"nan",97.667,0,9,0.731,1,0
13,"Bop Moon","Giuseppi Logan","The Giuseppi Logan Quintet",40.71455,-74.00712,"NY - New York City",454.94812,-12.518,0,104.231,0,7,0.474,3,1
14,"Hypnotise The Cat","Tam Tam Go!","The Platinum Collection",,,,216.63302,-6.55,"nan",133.45,0,6,0.69,4,0.357
15,"Nassau Town","John D. Loudermilk","The Open Mind Of John D. Loudermilk",35.99527,-78.89601,"Durham NC",123.42812,-9.926,0,133.582,0,0,0.024,4,0
16,"Amdokwe","Vusi Mahlasela","Miyela Africa",,,,250.48771,-10.29,0,120.024,0,2,1,3,0.877
17,"Indita Mia (Album Version)","Alacranes Musical","Los Primeros Exitos Alacraneros",,,,284.1073,-5.202,0,168.144,0,0,0.492,3,0.769
18,"I'm A Killer","Hot Live Guys","Robbin' A Bank",56.95468,-98.30897,"CANADA - other",138.13506,-3.846,"nan",123.087,0,7,0.463,1,0.258
19,"Into Battle","Ensiferum","Iron",,,"Helsinki Finland",352.49587,-5.827,0.6822046615,105.05,2004,11,0.762,1,0
20,"Unicorn","David Lynch","Lit'l Song",,,"California",618.23955,-13.61,"nan",131.292,0,3,0.164,4,0.464
21,"(Do)Minion","Eluveitie","Everything Remains (As It Never Was)",,,"Switzerland",307.69587,-4.367,0.662986161,110.018,2010,11,0.48,4,0.446
22,"Aquel Amor","Flor Silvestre","15 Exitos Vol. 2 Flor Silvestre",,,,207.75138,-10.19,"nan",130.818,0,7,0.829,1,1
23,"Cuando Quieres Tu","Sonora Santanera","La Inspiracion De Agustin Lara",,,,167.70567,-16.275,"nan",104.284,0,2,0.102,5,0.575
24,"Times Like These","Albin Myers","Times Like These",,,,493.29587,-8.648,0.2658610492,127.923,0,7,0.733,1,0
25,"Active","Dark Party","Ghostly Swim",,,,261.58975,-3.542,0.7314733571,175.948,2008,1,0.582,4,0.455
26,"Li Jia Chu Zou","Janice Vidal","Wish",,,,246.59546,-9.77,"nan",136.887,0,9,0.601,4,0.532
27,"Nightly Cares","Múm","Nightly Cares",,,,249.05098,-15.775,0.7740042743,95.576,2004,1,0.704,4,0.453
28,"Interlude: Livin'...In Complete Darkness","Janet Jackson","Rhythm Nation",,,"Los Angeles &amp; New York",67.10812,-19.99,0.4890382092,120.45,0,2,0.603,5,0.648
29,"Djessy","Kanda Bongo Man","Djessy",-1.9322,18.28471,"Inongo Zaire",554.68363,-12.831,0.38670242,132.27,0,0,0.698,4,1
30,"Let It Be Me","Tommy McLain","Voices Of Americana: Tommy McLain",,,,196.38812,-21.418,"nan",152.294,0,10,0.362,1,0
31,"Seikurabe (Karaoke)","Yuko Kanzaki","Fuwari",,,,145.8673,-12.27,0,89.98,0,0,0.762,3,0.606
32,"The Mission","30 Seconds To Mars","30 Seconds To Mars",,,"Los Angeles CA",245.02812,-4.675,0.7936136676,190.102,2002,8,0.616,4,0.04
33,"G G Kah","Moonface","Discoteca Ep 2",,,,508.60363,-11.516,"nan",130.07,0,1,0.736,4,0.496
34,"L'horizon Chimérique","Julien Clerc","Si J'étais Elle",46.71067,1.71819,"FR",264.93342,-8.648,"nan",128.549,2000,6,0.731,4,0.445
35,"Raza Cristalera","Los Morros Del Norte","El Vaqueton",,,"Culiacan Sinaloa Mexico",130.76853,-7.092,0,120.129,0,7,0.638,3,1
36,"The Tie That Binds","Moon Mullican","Moon's Tune",30.99688,-94.82807,"Corrigan Polk County TX",181.31546,-23.461,"nan",118.064,0,0,0.577,3,0.785
37,"First Boyfriend","Helen Love","It's My Club And I'll Play What I Want To",51.48126,-3.18067,"Cardiff Wales",156.21179,-6.674,0.2120454055,195.026,2007,8,0.441,5,0.735
38,"Sarah Palin {I Wanna Lay Pipe}","John Brown","John Brown Or Die: A Revival You Can Believe In",35.21962,-80.01955,"North Carolina",221.43955,-6.562,0,129.977,0,0,0.535,4,0.825
39,"Chlore","Pascal Obispo","Un Jour Comme Aujourd' Hui",,,,231.00036,-13.691,0,139.98,1994,5,0.488,4,0.29
40,"Survivalism","Nine Inch Nails","Survivalism",41.50471,-81.69074,"Cleveland OH",256.83546,-6.787,"nan",86.624,2007,9,0.203,3,1
41,"Santa Claus Is Coming To Town","Buddy Miles","Greatest Christmas Hits",41.26069,-95.93995,"Omaha NE",177.52771,-6.736,"nan",130.173,0,4,0.822,4,0.181
42,"Fat Tianne","Tanto Metro & Devonte","Riddim Driven: Coolie Skank",,,,208.45669,-8.148,0,79.916,0,4,0.602,3,1
43,"AquaCityBoy","K-OS","Atlantis - Hymns for Disco.",,,,161.51465,-5.095,0.5437882725,78.971,2006,10,0.459,4,0.954
44,"Lala Song (Matesi DJ ""Silverstatix""remix","Bob Sinclar","Lala Song The Remixes",34.05349,-118.24532,"Kentwood LA; Los Angeles CA",342.69995,-6.635,"nan",127.932,0,4,0.281,3,0.454
45,"Nowhere To Run","Michael McDonald","Motown II",,,"St. Louis MO",195.70893,-4.222,0.4537136667,128.968,0,0,0.458,4,0.971
46,"Provisoirement","DÉSOLÉ","Perdus Corps et Biens",,,,145.08363,-10.499,"nan",77.581,0,0,0.009,4,0.144
47,"Neir","Mau Mau","Sauta Rabel",,,,255.55546,-7.921,"nan",162.134,1992,1,0.089,4,0
48,"Runaway Train (LP Version)","Geddy Lee","My Favorite Headache",43.7698,-79.4138,"Willowdale Ontario Canada",271.46404,-5.956,0.6614452229,119.953,2000,0,0.31,3,1
49,"Juggernaut","Cauda Pavonis","The Gothic Sounds of Nightbreed Volume 5",,,,205.11302,-3.697,0,180.203,0,7,0.126,4,0.637
50,"All Over Now","X","At Home With You",,,,233.22077,-6.898,0.2658610492,141.846,0,9,0.711,4,0
51,"Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version)","Twista","The Day After",,,"Chicago IL",259.36934,-6.945,"nan",114.752,2005,0,0.313,4,0.03
52,"La Matanza","Grace Gale","Stronger_ Faster_ Science",39.74001,-104.99226,"Denver CO",247.71873,-6.533,0.2658610492,155.173,2008,0,0.268,4,0
53,"Two-Sided Politics","Suicidal Tendencies","Still Cyco After All These Years",34.05349,-118.24532,"Venice CA",61.83138,-7.499,"nan",235.337,1987,7,0.236,1,0
54,"No More Troubles","Sunnyland Slim","Chicago Blues Festival 1974 With Jimmy Dawkins",,,"Vance MS",344.71138,-14.165,"nan",108.105,0,7,0.179,3,1
